urn,la_code,la_code_new,stat_neighbours,stat_neighbours_la_code,stat_neighbours_previous,local_authority_ons_name,also_known_as,region_code,region_name,domain,ofsted_ilacs_scrape_la_name,rgn22cd,rgn22nm,lad23cd,ltla23cd,ltla23nm,ltla23nmw,ltla23_ons,utla23nm,country,ons_population_0-25,ons_la_type
80506,208,E09000022,"210, 209, 205, 203, 309, 206, 306, 320, 202, 212","E09000028, E09000023, E09000013, E09000011, E09000014, E09000019, E09000008, E09000031, E09000007, E09000032","306, 308, 203, 204, 205, 309, 206, 209, 210, 320",Lambeth,,GL,London,lambeth.gov.uk,208,E12000007,London,E09000022,E09000022,Lambeth,,E09000022,Lambeth,England,95999,London Borough
80480,888,E10000017,"925, 351, 332, 884, 841, 808, 384, 891, 929, 359","E10000019, E08000002, E08000027, E06000019, E06000005, E06000004, E08000036, E10000024, E06000057, E08000010","351, 381, 896, 830, 886, 891, 343, 860, 808, 359",Lancashire,,NW,North West,lancashire.gov.uk,888,E12000002,North West,,E10000017,Lancashire,,E10000017,Lancashire,England,366990,County
80481,383,E08000035,"851, 882, 373, 826, 382, 355, 801, 852, 306, 839","E06000044, E06000033, E08000019, E06000042, E08000034, E08000006, E06000023, E06000045, E09000008, E06000058","350, 351, 381, 841, 831, 382, 392, 373, 808, 344",Leeds,,YH,Yorkshire and the Humber,leeds.gov.uk,,E12000003,Yorkshire and the Humber,E08000035,E08000035,Leeds,,E08000035,Leeds,England,275323,Metropolitan District
80482,856,E06000016,"821, 871, 304, 316, 333, 380, 307, 313, 330, 889","E06000032, E06000039, E09000005, E09000025, E08000028, E08000032, E09000009, E09000018, E08000025, E06000008","889, 331, 312, 313, 874, 333, 871, 852, 335, 336",Leicester,,EM,East Midlands,leicester.gov.uk,856,E12000004,East Midlands,E06000016,E06000016,Leicester,,E06000016,Leicester,England,140063,Unitary Authority
80483,855,E10000018,"916, 803, 937, 802, 850, 865, 933, 938, 811, 891","E10000013, E06000025, E10000031, E06000024, E10000014, E06000054, E06000066, E10000032, E06000011, E10000024","823, 895, 881, 850, 802, 803, 860, 937, 938, 885",Leicestershire,,EM,East Midlands,leics.gov.uk,855,E12000004,East Midlands,,E10000018,Leicestershire,,E10000018,Leicestershire,England,207317,County
80508,209,E09000023,"208, 210, 306, 205, 203, 320, 309, 302, 383, 355","E09000022, E09000028, E09000008, E09000013, E09000011, E09000031, E09000014, E09000003, E08000035, E08000006","304, 306, 308, 203, 204, 205, 309, 208, 210, 320",Lewisham,,GL,London,lewisham.gov.uk,209,E12000007,London,E09000023,E09000023,Lewisham,,E09000023,Lewisham,England,93688,London Borough
80484,925,E10000019,"888, 384, 884, 813, 926, 935, 332, 940, 830, 933","E10000017, E08000036, E06000019, E06000013, E10000020, E10000029, E08000027, E06000061, E10000007, E06000066","908, 909, 830, 926, 813, 940, 891, 860, 935, 885",Lincolnshire,,EM,East Midlands,lincolnshire.gov.uk,925,E12000004,East Midlands,,E10000019,Lincolnshire,,E10000019,Lincolnshire,England,212302,County
80485,341,E08000012,"890, 805, 806, 355, 393, 340, 394, 391, 807, 354","E06000009, E06000001, E06000002, E08000006, E08000023, E08000011, E08000024, E08000021, E06000003, E08000005","841, 390, 876, 805, 340, 806, 391, 355, 393, 394",Liverpool,,NW,North West,liverpool.gov.uk,341,E12000002,North West,E08000012,E08000012,Liverpool,,E08000012,Liverpool,England,166870,Metropolitan District
80520,821,E06000032,"871, 874, 331, 313, 312, 856, 307, 333, 852, 301","E06000039, E06000031, E08000026, E09000018, E09000017, E06000016, E09000009, E08000028, E06000045, E09000002","330, 380, 831, 308, 312, 874, 317, 333, 871, 335",Luton,,E,East of England,luton.gov.uk,821,E12000006,East of England,E06000032,E06000032,Luton,,E06000032,Luton,England,83182,Unitary Authority
80521,352,E08000003,"892, 330, 391, 308, 380, 355, 806, 852, 309, 353","E06000018, E08000025, E08000021, E09000010, E08000032, E08000006, E06000002, E06000045, E09000014, E08000004","330, 801, 341, 391, 892, 851, 355, 373, 852, 336",Manchester,,NW,North West,manchester.gov.uk,352,E12000002,North West,E08000003,E08000003,Manchester,,E08000003,Manchester,England,219504,Metropolitan District
80522,887,E06000035,"866, 332, 886, 303, 926, 935, 883, 891, 351, 384","E06000030, E08000027, E10000016, E09000004, E10000020, E10000029, E06000034, E10000024, E08000002, E08000036","332, 311, 886, 940, 941, 372, 882, 866, 894, 883",Medway,,,South East,medway.gov.uk,887,E12000008,South East,E06000035,E06000035,Medway,,E06000035,Medway,England,89143,Unitary Authority
80510,315,E09000024,"319, 314, 870, 302, 826, 822, 306, 919, 310, 873","E09000029, E09000021, E06000038, E09000003, E06000042, E06000055, E09000008, E10000015, E09000015, E10000003","302, 307, 308, 312, 313, 314, 870, 317, 319, 212",Merton,,GL,London,merton.gov.uk,315,E12000007,London,E09000024,E09000024,Merton,,E09000024,Merton,England,64903,London Borough
80523,806,E06000002,"890, 805, 861, 354, 391, 336, 335, 393, 341, 355","E06000009, E06000001, E06000021, E08000005, E08000021, E08000031, E08000030, E08000023, E08000012, E08000006","890, 876, 805, 810, 340, 354, 355, 393, 861, 357",Middlesbrough,,NE,North East,middlesbrough.gov.uk,806,E12000001,North East,E06000002,E06000002,Middlesbrough,,E06000002,Middlesbrough,England,48715,Unitary Authority
80524,826,E06000042,"822, 303, 882, 870, 839, 311, 919, 886, 319, 383","E06000055, E09000004, E06000033, E06000038, E06000058, E09000016, E10000015, E10000016, E09000029, E08000035","822, 303, 831, 919, 886, 383, 941, 870, 866, 883",Milton Keynes,,SE,South East,milton-keynes.gov.uk,826,E12000008,South East,E06000042,E06000042,Milton Keynes,,E06000042,Milton Keynes,England,93952,Unitary Authority
80525,391,E08000021,"355, 373, 806, 851, 892, 383, 330, 852, 352, 890","E08000006, E08000019, E06000002, E06000044, E06000018, E08000035, E08000025, E06000045, E08000003, E06000009","390, 876, 805, 383, 341, 806, 355, 373, 393, 394",Newcastle upon Tyne,,NE,North East,newcastle.gov.uk,391,E12000001,North East,E08000021,E08000021,Newcastle upon Tyne,,E08000021,Newcastle upon Tyne,England,111504,Metropolitan District
80511,316,E09000025,"304, 301, 308, 856, 309, 821, 307, 313, 352, 871","E09000005, E09000002, E09000010, E06000016, E09000014, E06000032, E09000009, E09000018, E08000003, E06000039","301, 304, 307, 308, 203, 204, 309, 821, 871, 320",Newham,,GL,London,newham.gov.uk,316,E12000007,London,E09000025,E09000025,Newham,,E09000025,Newham,England,127472,London Borough
80418,926,E10000020,"935, 908, 878, 830, 929, 886, 933, 925, 891, 887","E10000029, E06000052, E10000008, E10000007, E06000057, E10000016, E06000066, E10000019, E10000024, E06000035","908, 909, 878, 838, 845, 921, 925, 893, 933, 935",Norfolk,,E,East of England,norfolk.gov.uk,926,E12000006,East of England,,E10000020,Norfolk,,E10000020,Norfolk,England,247828,County
80526,812,E06000012,"371, 861, 372, 894, 335, 384, 841, 370, 807, 357","E08000017, E06000021, E08000018, E06000020, E08000030, E08000036, E06000005, E08000016, E06000003, E08000008","370, 371, 813, 807, 372, 342, 357, 894, 384, 359",North East Lincolnshire,,YH,Yorkshire and the Humber,nelincs.gov.uk,812,E12000003,Yorkshire and The Humber,E06000012,E06000012,North East Lincolnshire,,E06000012,North East Lincolnshire,England,45729,Unitary Authority
80527,813,E06000013,"384, 925, 371, 370, 940, 332, 942, 372, 894, 888","E08000036, E10000019, E08000017, E08000016, E06000061, E08000027, E06000063, E08000018, E06000020, E10000017","830, 371, 332, 925, 926, 940, 891, 372, 894, 359",North Lincolnshire,,YH,Yorkshire and the Humber,northlincs.gov.uk,813,E12000003,Yorkshire and The Humber,E06000013,E06000013,North Lincolnshire,,E06000013,North Lincolnshire,England,47117,Unitary Authority
2637539,940,E06000061,"866, 941, 935, 925, 933, 883, 891, 813, 887, 384","E06000030, E06000062, E10000029, E10000019, E06000066, E06000034, E10000024, E06000013, E06000035, E08000036","909, 830, 886, 925, 941, 891, 860, 935, 937, 885",North Northamptonshire,,EM,East Midlands,northnorthants.gov.uk,940,E12000004,East Midlands,E06000061,E06000061,North Northamptonshire,,E06000061,North Northamptonshire,England,107825,Unitary Authority
80528,802,E06000024,"850, 916, 865, 937, 855, 881, 938, 803, 891, 886","E10000014, E10000013, E06000054, E10000031, E10000018, E10000012, E10000032, E06000025, E10000024, E10000016","845, 881, 916, 850, 855, 803, 937, 938, 865, 885",North Somerset,,SW,South West,n-somerset.gov.uk,802,E12000009,South West,E06000024,E06000024,North Somerset,,E06000024,North Somerset,England,58642,Unitary Authority
80529,392,E08000022,"351, 891, 808, 802, 841, 888, 334, 908, 390, 886","E08000002, E10000024, E06000004, E06000024, E06000005, E10000017, E08000029, E06000052, E08000037, E10000016","381, 841, 840, 390, 929, 343, 342, 808, 359, 344",North Tyneside,,NE,North East,my.northtyneside.gov.uk,392,E12000001,North East,E08000022,E08000022,North Tyneside,,E08000022,North Tyneside,England,57185,Metropolitan District
80530,815,E06000065,"893, 895, 811, 860, 916, 877, 937, 884, 865, 933","E06000051, E06000049, E06000011, E10000028, E10000013, E06000007, E10000031, E06000019, E06000054, E06000066","823, 895, 896, 811, 857, 860, 877, 937, 869, 885",North Yorkshire,,YH,Yorkshire and the Humber,northyorks.gov.uk,,E12000003,Yorkshire and the Humber,,E10000023,North Yorkshire,,E10000023,North Yorkshire,England,158253,County
121939,928,,,,,Northamptonshire,,EM,East Midlands,nctrust.co.uk,928,E12000004,East Midlands,,E10000021,Northamptonshire,,E10000021,Northamptonshire,England,,
80532,929,E06000057,"926, 830, 888, 908, 878, 840, 838, 886, 885, 935","E10000020, E10000007, E10000017, E06000052, E10000008, E06000047, E06000059, E10000016, E10000034, E10000029","381, 896, 830, 811, 888, 392, 891, 860, 808, 877",Northumberland,,NE,North East,northumberland.gov.uk,929,E12000001,North East,E06000057,E06000057,Northumberland,,E06000057,Northumberland,England,81276,Unitary Authority
80533,892,E06000018,"330, 352, 391, 806, 380, 333, 852, 353, 373, 355","E08000025, E08000003, E08000021, E06000002, E08000032, E08000028, E06000045, E08000004, E08000019, E08000006","330, 801, 331, 810, 352, 851, 355, 333, 852, 336",Nottingham,,EM,East Midlands,nottinghamcity.gov.uk,892,E12000004,East Midlands,E06000018,E06000018,Nottingham,,E06000018,Nottingham,England,131978,Unitary Authority
80534,891,E10000024,"830, 935, 933, 886, 926, 937, 855, 802, 860, 888","E10000007, E10000029, E06000066, E10000016, E10000020, E10000031, E10000018, E06000024, E10000028, E10000017","896, 909, 830, 881, 886, 888, 925, 940, 860, 885",Nottinghamshire,,EM,East Midlands,nottinghamshire.gov.uk,,E12000004,East Midlands,,E10000024,Nottinghamshire,,E10000024,Nottinghamshire,England,229732,County
80535,353,E08000004,"889, 350, 354, 380, 335, 831, 861, 331, 330, 333","E06000008, E08000001, E08000005, E08000032, E08000030, E06000015, E06000021, E08000026, E08000025, E08000028","889, 350, 380, 831, 332, 382, 354, 372, 357, 335",Oldham,,NW,North West,oldham.gov.uk,353,E12000002,North West,E08000004,E08000004,Oldham,,E08000004,Oldham,England,84725,Metropolitan District
80536,931,E10000025,"873, 919, 825, 937, 916, 850, 867, 938, 869, 803","E10000003, E10000015, E06000060, E10000031, E10000013, E10000014, E06000036, E10000032, E06000037, E06000025","800, 867, 825, 873, 916, 850, 919, 869, 938, 865",Oxfordshire,,SE,South East,oxfordshire.gov.uk,931,E12000008,South East,,E10000025,Oxfordshire,,E10000025,Oxfordshire,England,223531,County
80537,874,E06000031,"331, 831, 312, 350, 852, 335, 821, 354, 336, 883","E08000026, E06000015, E09000017, E08000001, E06000045, E08000030, E06000032, E08000005, E08000031, E06000034","350, 831, 887, 879, 851, 372, 373, 852, 894, 335",Peterborough,,E,East of England,peterborough.gov.uk,874,E12000006,East of England,E06000031,E06000031,Peterborough,,E06000031,Peterborough,England,72688,Unitary Authority
80538,879,E06000026,"357, 880, 894, 332, 372, 384, 382, 390, 887, 908","E08000008, E06000027, E06000020, E08000027, E08000018, E08000036, E08000034, E08000037, E06000035, E06000052","839, 921, 887, 874, 851, 372, 882, 357, 894, 880",Plymouth,,SW,South West,plymouth.gov.uk,,E12000009,South West,E06000026,E06000026,Plymouth,,E06000026,Plymouth,England,83366,Unitary Authority
137316,836,,,,,Poole,,SW,South West,bcpcouncil.gov.uk,836,E12000009,South West,,E06000029,Poole,,E06000029,Poole,England,,
80539,851,E06000044,"373, 383, 382, 355, 852, 882, 879, 831, 390, 357","E08000019, E08000035, E08000034, E08000006, E06000045, E06000033, E06000026, E06000015, E08000037, E08000008","801, 331, 831, 874, 879, 355, 373, 852, 882, 894",Portsmouth,,SE,South East,portsmouth.gov.uk,851,E12000008,South East,E06000044,E06000044,Portsmouth,,E06000044,Portsmouth,England,71214,Unitary Authority
80540,870,E06000038,"826, 302, 312, 315, 822, 306, 320, 383, 852, 310","E06000042, E09000003, E09000017, E09000024, E06000055, E09000008, E09000031, E08000035, E06000045, E09000015","302, 822, 846, 801, 831, 312, 826, 373, 852, 319",Reading,,SE,South East,brighterfuturesforchildren.org,870,E12000008,South East,E06000038,E06000038,Reading,,E06000038,Reading,England,58510,Unitary Authority
80512,317,E09000026,"310, 312, 320, 307, 313, 302, 871, 870, 852, 821","E09000015, E09000017, E09000031, E09000009, E09000018, E09000003, E06000039, E06000038, E06000045, E06000032","302, 307, 310, 312, 313, 821, 315, 870, 871, 319",Redbridge,,GL,London,redbridge.gov.uk,317,E12000007,London,E09000026,E09000026,Redbridge,,E09000026,Redbridge,England,106783,London Borough
80541,807,E06000003,"394, 393, 805, 372, 390, 840, 370, 357, 371, 880","E08000024, E08000023, E06000001, E08000018, E08000037, E06000047, E08000016, E08000008, E08000017, E06000027","370, 841, 371, 840, 812, 372, 342, 357, 359, 344",Redcar and Cleveland,,NE,North East,redcar-cleveland.gov.uk,807,E12000001,North East,E06000003,E06000003,Redcar and Cleveland,,E06000003,Redcar and Cleveland,England,37804,Unitary Authority
80513,318,E09000027,"868, 314, 936, 872, 305, 358, 825, 919, 800, 869","E06000040, E09000021, E10000030, E06000041, E09000006, E08000009, E06000060, E10000015, E06000022, E06000037","305, 825, 873, 919, 314, 931, 936, 869, 868, 872",Richmond upon Thames,,GL,London,richmond.gov.uk,318,E12000007,London,E09000027,E09000027,Richmond upon Thames,,E09000027,Richmond upon Thames,England,57579,London Borough
80542,354,E08000005,"335, 357, 861, 350, 394, 371, 372, 831, 353, 355","E08000030, E08000008, E06000021, E08000001, E08000024, E08000017, E08000018, E06000015, E08000004, E08000006","350, 831, 371, 382, 806, 353, 372, 861, 357, 335",Rochdale,,NW,North West,rochdale.gov.uk,354,E12000002,North West,E08000005,E08000005,Rochdale,,E08000005,Rochdale,England,74298,Metropolitan District
80543,372,E08000018,"370, 357, 371, 384, 894, 332, 807, 394, 390, 840","E08000016, E08000008, E08000017, E08000036, E06000020, E08000027, E06000003, E08000024, E08000037, E06000047","370, 371, 332, 812, 813, 807, 357, 894, 384, 359",Rotherham,,YH,Yorkshire and the Humber,rotherham.gov.uk,372,E12000003,Yorkshire and The Humber,E08000018,E08000018,Rotherham,,E08000018,Rotherham,England,78881,Metropolitan District
80547,857,E06000017,"865, 815, 893, 895, 850, 823, 916, 855, 869, 811","E06000054, E06000065, E06000051, E06000049, E10000014, E06000056, E10000013, E10000018, E06000037, E06000011","825, 873, 823, 895, 850, 815, 931, 937, 869, 865",Rutland,,EM,East Midlands,rutland.gov.uk,857,E12000004,East Midlands,E06000017,E06000017,Rutland,,E06000017,Rutland,England,11371,Unitary Authority
80548,355,E08000006,"373, 354, 851, 391, 390, 350, 393, 357, 852, 383","E08000019, E08000005, E06000044, E08000021, E08000037, E08000001, E08000023, E08000008, E06000045, E08000035","390, 876, 805, 341, 806, 391, 373, 393, 394, 357",Salford,,NW,North West,salford.gov.uk,355,E12000002,North West,E08000006,E08000006,Salford,,E08000006,Salford,England,93401,Metropolitan District
80549,333,E08000028,"336, 810, 861, 335, 354, 380, 806, 331, 353, 821","E08000031, E06000010, E06000021, E08000030, E08000005, E08000032, E06000002, E08000026, E08000004, E06000032","330, 889, 331, 831, 821, 892, 874, 861, 335, 336",Sandwell,,WM,West Midlands,sandwell.gov.uk,333,E12000005,West Midlands,E08000028,E08000028,Sandwell,,E08000028,Sandwell,England,117653,Metropolitan District
80550,343,E08000014,"344, 342, 359, 888, 876, 840, 808, 340, 841, 351","E08000015, E08000013, E08000010, E10000017, E06000006, E06000047, E06000004, E08000011, E06000005, E08000002","351, 381, 841, 830, 888, 392, 891, 808, 359, 344",Sefton,,NW,North West,sefton.gov.uk,343,E12000002,North West,E08000014,E08000014,Sefton,,E08000014,Sefton,England,74476,Metropolitan District
80551,373,E08000019,"382, 851, 355, 383, 831, 354, 391, 852, 357, 350","E08000034, E06000044, E08000006, E08000035, E06000015, E08000005, E08000021, E06000045, E08000008, E08000001","350, 381, 831, 383, 874, 879, 851, 852, 357, 894",Sheffield,,YH,Yorkshire and the Humber,sheffield.gov.uk,373,E12000003,Yorkshire and The Humber,E08000019,E08000019,Sheffield,,E08000019,Sheffield,England,188038,Metropolitan District
80552,893,E06000051,"815, 933, 860, 811, 838, 884, 830, 885, 943, 916","E06000065, E06000066, E10000028, E06000011, E06000059, E06000019, E10000007, E10000034, E06000064, E10000013","908, 909, 878, 838, 916, 884, 933, 935, 865, 885",Shropshire,,WM,West Midlands,shropshire.gov.uk,893,E12000005,West Midlands,E06000051,E06000051,Shropshire,,E06000051,Shropshire,England,83517,Unitary Authority
80553,871,E06000039,"313, 312, 821, 307, 317, 310, 304, 874, 320, 856","E09000018, E09000017, E06000032, E09000009, E09000026, E09000015, E09000005, E06000031, E09000031, E06000016","302, 330, 889, 307, 312, 313, 856, 821, 870, 317",Slough,,SE,South East,scstrust.co.uk,871,E12000008,South East,E06000039,E06000039,Slough,,E06000039,Slough,England,58086,Unitary Authority
80554,334,E08000029,"356, 896, 937, 877, 886, 916, 802, 895, 881, 919","E08000007, E06000050, E10000031, E06000007, E10000016, E10000013, E06000024, E06000049, E10000012, E10000015","351, 823, 895, 896, 811, 881, 356, 358, 877, 937",Solihull,,WM,West Midlands,solihull.gov.uk,334,E12000005,West Midlands,E08000029,E08000029,Solihull,,E08000029,Solihull,England,64284,Metropolitan District
80555,933,E06000066,"935, 830, 838, 893, 885, 891, 878, 860, 855, 881","E10000029, E10000007, E06000059, E06000051, E10000034, E10000024, E10000008, E10000028, E10000018, E10000012","908, 878, 838, 845, 916, 884, 926, 893, 935, 865",Somerset,,SW,South West,somerset.gov.uk,933,E12000009,South West,,E10000027,Somerset,,E10000027,Somerset,England,152079,Unitary Authority
80556,803,E06000025,"855, 850, 938, 873, 823, 802, 916, 881, 931, 865","E10000018, E10000014, E10000032, E10000003, E06000056, E06000024, E10000013, E10000012, E10000025, E06000054","823, 881, 916, 850, 855, 802, 937, 938, 865, 885",South Gloucestershire,,SW,South West,southglos.gov.uk,803,E12000009,South West,E06000025,E06000025,South Gloucestershire,,E06000025,South Gloucestershire,England,87691,Unitary Authority
80557,393,E08000023,"394, 807, 390, 805, 840, 357, 372, 354, 890, 841","E08000024, E06000003, E08000037, E06000001, E06000047, E08000008, E08000018, E08000005, E06000009, E06000005","840, 390, 876, 805, 341, 807, 355, 342, 394, 357",South Tyneside,,NE,North East,southtyneside.gov.uk,393,E12000001,North East,E08000023,E08000023,South Tyneside,,E08000023,South Tyneside,England,41392,Metropolitan District
80558,852,E06000045,"331, 831, 851, 373, 312, 355, 874, 383, 350, 320","E08000026, E06000015, E06000044, E08000019, E09000017, E08000006, E06000031, E08000035, E08000001, E09000031","801, 331, 831, 810, 874, 879, 851, 355, 373, 861",Southampton,,SE,South East,southampton.gov.uk,852,E12000008,South East,E06000045,E06000045,Southampton,,E06000045,Southampton,England,87220,Unitary Authority
80559,882,E06000033,"839, 383, 826, 351, 845, 851, 886, 303, 392, 822","E06000058, E08000035, E06000042, E08000002, E10000011, E06000044, E10000016, E09000004, E08000022, E06000055","839, 845, 881, 921, 886, 887, 879, 935, 866, 894",Southend-on-Sea,,E,East of England,southend.gov.uk,882,E12000006,East of England,E06000033,E06000033,Southend-on-Sea,,E06000033,Southend-on-Sea,England,52843,Unitary Authority
80514,210,E09000028,"208, 209, 205, 206, 203, 309, 202, 204, 306, 320","E09000022, E09000023, E09000013, E09000019, E09000011, E09000014, E09000007, E09000012, E09000008, E09000031","306, 308, 203, 204, 205, 309, 206, 208, 209, 320",Southwark,,GL,London,southwark.gov.uk,210,E12000007,London,E09000028,E09000028,Southwark,,E09000028,Southwark,England,96071,London Borough
80560,342,E08000013,"876, 343, 340, 840, 807, 370, 394, 344, 808, 894","E06000006, E08000014, E08000011, E06000047, E06000003, E08000016, E08000024, E08000015, E06000004, E06000020","370, 841, 840, 390, 392, 807, 808, 357, 384, 359",St. Helens,,NW,North West,sthelens.gov.uk,342,E12000002,North West,E08000013,E08000013,St. Helens,,E08000013,St. Helens,England,51544,Metropolitan District
80561,860,E10000028,"811, 884, 893, 815, 933, 830, 877, 891, 943, 888","E06000011, E06000019, E06000051, E06000065, E06000066, E10000007, E06000007, E10000024, E06000064, E10000017","896, 909, 830, 811, 881, 888, 940, 891, 937, 885",Staffordshire,,WM,West Midlands,staffordshire.gov.uk,860,E12000005,West Midlands,,E10000028,Staffordshire,,E10000028,Staffordshire,England,241195,County
80562,356,E08000007,"334, 358, 896, 916, 919, 938, 937, 802, 803, 873","E08000029, E08000009, E06000050, E10000013, E10000015, E10000032, E10000031, E06000024, E06000025, E10000003","351, 896, 881, 886, 888, 802, 334, 877, 937, 885",Stockport,,NW,North West,stockport.gov.uk,356,E12000002,North West,E08000007,E08000007,Stockport,,E08000007,Stockport,England,83960,Metropolitan District
80563,808,E06000004,"841, 332, 888, 390, 384, 351, 840, 372, 894, 344","E06000005, E08000027, E10000017, E08000037, E08000036, E08000002, E06000047, E08000018, E06000020, E08000015","351, 381, 841, 840, 888, 392, 343, 342, 359, 344",Stockton-on-Tees,,NE,North East,stockton.gov.uk,808,E12000001,North East,E06000004,E06000004,Stockton-on-Tees,,E06000004,Stockton-on-Tees,England,58648,Unitary Authority
80564,861,E06000021,"335, 354, 336, 371, 812, 810, 333, 357, 831, 372","E08000030, E08000005, E08000031, E08000017, E06000012, E06000010, E08000028, E08000008, E06000015, E08000018","370, 890, 371, 810, 806, 812, 354, 372, 357, 335",Stoke-on-Trent,,WM,West Midlands,stoke.gov.uk,861,E12000005,West Midlands,E06000021,E06000021,Stoke-on-Trent,,E06000021,Stoke-on-Trent,England,84146,Unitary Authority
80565,935,E10000029,"933, 926, 830, 891, 878, 881, 886, 838, 925, 940","E06000066, E10000020, E10000007, E10000024, E10000008, E10000012, E10000016, E06000059, E10000019, E06000061","908, 878, 838, 845, 916, 925, 926, 893, 933, 885",Suffolk,,E,East of England,analysticsbi.com,935,E12000006,East of England,,E10000029,Suffolk,,E10000029,Suffolk,England,208272,County
80566,394,E08000024,"807, 393, 805, 372, 357, 880, 390, 840, 370, 354","E06000003, E08000023, E06000001, E08000018, E08000008, E06000027, E08000037, E06000047, E08000016, E08000005","370, 841, 840, 390, 876, 807, 393, 342, 357, 384",Sunderland,,NE,North East,togetherforchildren.org.uk,394,E12000001,North East,E08000024,E08000024,Sunderland,,E08000024,Sunderland,England,77829,Metropolitan District
80567,936,E10000030,"868, 825, 358, 919, 869, 823, 872, 931, 867, 873","E06000040, E06000060, E08000009, E10000015, E06000037, E06000056, E06000041, E10000025, E06000036, E10000003","867, 825, 873, 823, 850, 919, 931, 869, 868, 872",Surrey,,SE,South East,surreycc.gov.uk,936,E12000008,South East,,E10000030,Surrey,,E10000030,Surrey,England,362904,County
80515,319,E09000029,"315, 919, 826, 873, 931, 314, 822, 938, 839, 825","E09000024, E10000015, E06000042, E10000003, E10000025, E09000021, E06000055, E10000032, E06000058, E06000060","302, 822, 303, 867, 305, 919, 314, 826, 870, 866",Sutton,,GL,London,sutton.gov.uk,319,E12000007,London,E09000029,E09000029,Sutton,,E09000029,Sutton,England,65081,London Borough
80568,866,E06000030,"887, 940, 883, 303, 822, 941, 935, 311, 891, 886","E06000035, E06000061, E06000034, E09000004, E06000055, E06000062, E10000029, E09000016, E10000024, E10000016","839, 881, 886, 888, 887, 940, 941, 891, 882, 894",Swindon,,SW,South West,swindon.gov.uk,866,E12000009,South West,E06000030,E06000030,Swindon,,E06000030,Swindon,England,70696,Unitary Authority
80569,357,E08000008,"372, 390, 354, 370, 384, 332, 894, 879, 394, 880","E08000018, E08000037, E08000005, E08000016, E08000036, E08000027, E06000020, E06000026, E08000024, E06000027","370, 841, 371, 390, 812, 807, 372, 342, 394, 359",Tameside,,NW,North West,tameside.gov.uk,357,E12000002,North West,E08000008,E08000008,Tameside,,E08000008,Tameside,England,70381,Metropolitan District
80570,894,E06000020,"384, 372, 332, 370, 357, 371, 841, 390, 879, 808","E08000036, E08000018, E08000027, E08000016, E08000008, E08000017, E06000005, E08000037, E06000026, E06000004","371, 332, 888, 887, 813, 874, 879, 372, 866, 359",Telford and Wrekin,,WM,West Midlands,telford.gov.uk,894,E12000005,West Midlands,E06000020,E06000020,Telford and Wrekin,,E06000020,Telford and Wrekin,England,58537,Unitary Authority
80571,883,E06000034,"866, 303, 311, 887, 940, 822, 941, 332, 925, 935","E06000030, E09000004, E09000016, E06000035, E06000061, E06000055, E06000062, E08000027, E10000019, E10000029","303, 332, 311, 887, 826, 941, 874, 882, 866, 894",Thurrock,,E,East of England,thurrock.gov.uk,883,E12000006,East of England,E06000034,E06000034,Thurrock,,E06000034,Thurrock,England,59497,Unitary Authority
80572,880,E06000027,"357, 394, 879, 372, 807, 921, 370, 390, 354, 894","E08000008, E08000024, E06000026, E08000018, E06000003, E06000046, E08000016, E08000037, E08000005, E06000020","839, 921, 926, 812, 879, 807, 372, 882, 894, 359",Torbay,,SW,South West,torbay.gov.uk,880,E12000009,South West,E06000027,E06000027,Torbay,,E06000027,Torbay,England,35202,Unitary Authority
80516,211,E09000030,"204, 206, 316, 352, 202, 309, 213, 210, 330, 304","E09000012, E09000019, E09000025, E08000003, E09000007, E09000014, E09000033, E09000028, E08000025, E09000005","330, 202, 204, 205, 309, 206, 821, 352, 316, 213",Tower Hamlets,,GL,London,towerhamlets.gov.uk,211,E12000007,London,E09000030,E09000030,Tower Hamlets,,E09000030,Tower Hamlets,England,113173,London Borough
80573,358,E08000009,"919, 356, 825, 931, 936, 305, 895, 873, 916, 334","E10000015, E08000007, E06000060, E10000025, E10000030, E09000006, E06000049, E10000003, E10000013, E08000029","867, 305, 825, 823, 895, 850, 919, 334, 356, 816",Trafford,,NW,North West,trafford.gov.uk,358,E12000002,North West,E08000009,E08000009,Trafford,,E08000009,Trafford,England,72430,Metropolitan District
80451,384,E08000036,"332, 370, 894, 372, 925, 357, 371, 813, 841, 888","E08000027, E08000016, E06000020, E08000018, E10000019, E08000008, E08000017, E06000013, E06000005, E10000017","370, 371, 840, 390, 812, 807, 372, 342, 394, 359",Wakefield,,YH,Yorkshire and the Humber,wakefield.gov.uk,384,E12000003,Yorkshire and the Humber,E08000036,E08000036,Wakefield,,E08000036,Wakefield,England,102138,Metropolitan District
80574,335,E08000030,"354, 861, 357, 336, 371, 831, 350, 372, 812, 333","E08000005, E06000021, E08000008, E08000031, E08000017, E06000015, E08000001, E08000018, E06000012, E08000028","350, 831, 332, 382, 874, 354, 333, 861, 357, 894",Walsall,,WM,West Midlands,walsall.gov.uk,335,E12000005,West Midlands,E08000030,E08000030,Walsall,,E08000030,Walsall,England,94285,Metropolitan District
